artifact_id,name,role,source_ref,source_commit,producer,consumer,public_private,frozen,audited,current,superseded,safe_path
ART-CANDIDATE-COHORT,Candidate profiling cohort,Public aggregate candidate-union authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,CANDIDATE_UNION,RELATION_PROFILING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039C_CANDIDATE_PROFILING_COHORT.json
ART-TRAIN3-CONFIRMATION,Train3 confirmation result,Public one-way normal confirmation result,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RELATION_PROFILING,COMMON42_FREEZE,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039D2_RESULT.json
ART-CONFIRMED-RELATIONS,Confirmed relation cohort,Public aggregate directed-relation authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RELATION_PROFILING,COMMON42_FREEZE,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E0_CONFIRMED_RELATION_COHORT.json
ART-COMMON42,COMMON-42 authority check,Public executable relation-authority metadata,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,COMMON42_FREEZE,D1_RULE_ONLY,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_COMMON42_AUTHORITY_CHECK.json
ART-NUMERIC-AUTHORITY-RECEIPT,Normal-only numeric authority receipt,Public hash-only receipt for governed private numeric authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,NUMERIC_AUTHORITY,DETERMINISTIC_VERIFIER,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_NORMAL_ONLY_AUTHORITY_V1_MATERIALIZED_RECEIPT.json
ART-CONSTRUCTION-ANALYSIS,Construction arm synthesis,Public aggregate T0 T1 T1-B T2 pilot synthesis,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_RESULT_ANALYSIS_CONSTRUCTION.json
ART-D0-PREDICTION,D0 prediction,Public label-blind frozen D0 prediction authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,D0_PCA_SPE,D2_V1,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_DETECTOR_PREDICTION_ARTIFACT_V1.json
ART-D0-METRICS,D0 metrics,Public frozen D0 INNER pilot metric summary,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,ATTACK_EVENT_RECALL,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_METRICS_V1.json
ART-D0-INTEGRITY,D0 integrity receipt,Public D0 independent result-integrity authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D0_RESULT_INTEGRITY_V1_RECEIPT.json
ART-D1-PREDICTION,D1 prediction,Public frozen COMMON-42 rule prediction authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,D1_RULE_ONLY,D2_V1,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RULE_PREDICTION_ARTIFACT_V1.json
ART-D1-METRICS,D1 metrics,Public frozen D1 INNER pilot metric summary,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,NORMAL_FAR,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_METRICS_V1.json
ART-D1-INTEGRITY,D1 integrity receipt,Public D1 independent result-integrity authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D1_RESULT_INTEGRITY_V1_RECEIPT.json
ART-D2V1-PREDICTION,D2 V1 prediction,Public frozen same-second fusion prediction authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,D2_V1,ATTACK_EVENT_RECALL,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_COMBINED_PREDICTION_ARTIFACT_V1.json
ART-D2V1-METRICS,D2 V1 metrics,Public frozen D2 V1 INNER pilot metric summary,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,NORMAL_FAR,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_METRICS_V1.json
ART-D2V1-INTEGRITY,D2 V1 integrity receipt,Public D2 V1 independent result-integrity authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_RESULT_INTEGRITY_V1_RECEIPT.json
ART-D2V2-PREDICTION,D2 V2 prediction,Public frozen native-horizon fusion prediction authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,D2_V2,ATTACK_EVENT_RECALL,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_COMBINED_PREDICTION_ARTIFACT_V1.json
ART-D2V2-METRICS,D2 V2 metrics,Public frozen D2 V2 INNER pilot metric summary,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,NORMAL_FAR,PROFESSOR_REPORTING,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_METRICS_V1.json
ART-D2V2-INTEGRITY,D2 V2 integrity completion,Public canonical D2 V2 integrity completion authority,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_INNER_D2_V2_RESULT_INTEGRITY_COMPLETION_V1.json
ART-OUTER-BLOCKER,OUTER recovery blocker,Public custody record with no OUTER scientific result,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,OUTER_EVALUATION,RCC,PUBLIC_SAFE,true,false,true,false,docs/task_reports/TASK-039E3_R2R_UTILITY_OUTER_D0_D1_D2V1_EXECUTION_RECOVERY_V1_BLOCKER.json
ART-PROFESSOR-RESULTS,Professor first-results report,Public pilot synthesis bounded by frozen authorities,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,PROFESSOR_REPORTING,THESIS_DRAFT,PUBLIC_SAFE,true,true,true,false,docs/professor_submission_v1/03_FIRST_RESULTS_REPORT.md
ART-IMPLEMENTATION-AUDIT,Implementation completeness audit,Public implementation and validation boundary audit,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/post_push_checkpoint_v1/08_IMPLEMENTATION_COMPLETENESS.md
ART-REPRO-ASSESSMENT,Reproducibility assessment,Public traceability and fresh-machine assessment,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,docs/post_push_checkpoint_v1/07_REPRODUCIBILITY_ASSESSMENT.md
ART-CLAIM-AUDIT,Claim audit,Public thesis-claim boundary audit,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,RESULT_INTEGRITY,THESIS_DRAFT,PUBLIC_SAFE,true,true,true,false,docs/post_push_checkpoint_v1/09_CLAIM_AUDIT.md
ART-THESIS-DRAFT,Thesis working draft,Provisional narrative synthesis; not scientific authority,origin/task-039e3-r2r-thesis-draft-scaffold-v1,ebc5a57bfdb7d8266f96f2990338effb9d0a2743,THESIS_DRAFT,RCC,PUBLIC_SAFE,true,false,true,false,docs/thesis_draft_v1/15_FULL_THESIS_WORKING_DRAFT.md
ART-RAW-DATA-CUSTODY,Raw HAI and test payload custody,Governed local-only data custody identity,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,DATA_PROVENANCE,SPLIT_GOVERNANCE,PRIVATE,true,false,false,false,LOCAL_DATA_CUSTODY
ART-PRIVATE-SCIENTIFIC-CUSTODY,Private numeric model and evidence custody,Governed private scientific-authority custody identity,origin/research-v6-thesis-checkpoint,2dc7e6c23d5e9503bd4953a70e6bc20e39994b6e,NUMERIC_AUTHORITY,RESULT_INTEGRITY,PRIVATE,true,false,false,false,PRIVATE_ARTIFACT_CUSTODY
